Code_Interne,Nom_Patient_FR,Nom_Patient_AR,Nom_Technique,Categorie_FR,Categorie_AR,Prix_Dhs,Pre_Analytique_FR,Pre_Analytique_AR,Description_Patient_FR,Description_Patient_AR,Tags_FR,Tags_AR,Nombre_Demandes
C  GLYP,Glycémie Post-Prandiale,سكر الدم بعد الأكل,Glycémie post prandiale,Diabète,السكري,0,2h après repas.,ساعتان بعد الأكل.,Glycémie après repas.,سكر الدم بعد الوجبة.,sucre; diabète; post-prandial; après repas,سكر; السكري; بعد أكل,65
MT CA19,Antigène CA 19-9,مستضد CA 19-9,ANTIGENE CA 19-9,Cancer,السرطان,0,Non à jeun.,بدون صيام.,Marqueur cancer pancréas/digestif.,مؤشر سرطان البنكرياس والهضمي.,ca19-9; cancer; pancréas; digestif; tumeur,كا19-9; سرطان; بنكرياس; ورم,62
N  PROL,Prolactine,البرولاكتين,PROLACTINE,Hormonologie,الهرمونات,0,Le matin. Éviter stress.,صباحا. تجنب الضغط.,Hormone de lactation.,هرمون الحليب.,prolactine; lait; allaitement; règles; fertilité,برولاكتين; حليب; رضاعة; دورة; خصوبة,61
N  TPO,Anticorps Anti-Thyroperoxydase,أجسام مضادة ضد الغدة,ANTICORPS ANTI -THYROPERO,Immunologie,المناعة,0,Non à jeun.,بدون صيام.,Maladie auto-immune thyroïdienne.,مرض مناعة ذاتية للغدة الدرقية.,tpo; thyroïde; hashimoto; auto-immun; anticorps,مضادات غدة درقية; هاشيموتو; مناعة,60
C  MG,Magnésium Sérique,المغنيسيوم,MAGNESIUM SERIQUE,Bilan Général,فحص عام,0,Jeûne préférable.,يفضل الصيام.,Bilan minéral.,فحص المعادن.,magnésium; crampes; fatigue; minéraux,مغنيسيوم; تشنج; تعب; معادن,60
U  BILU,Bilirubine Urinaire,البيليروبين في البول,BILIRUBINE URINAIRE,Bilan Hépatique (Foie),فحص الكبد,0,Urines fraîches.,بول طازج.,Dépistage ictère.,فحص اليرقان.,bilirubine; urines; jaunisse; ictère; foie,بيليروبين; بول; يرقان; كبد,58
N  TEST,Testostérone Sérique,هرمون الذكورة,TESTOSTERONE SERIQUE,Hormonologie,الهرمونات,0,Le matin entre 8-10h.,صباحا بين 8-10.,Hormone masculine.,هرمون الذكورة.,testostérone; hormone; hommes; libido; fertilité,تستوستيرون; هرمون; رجال; رغبة; خصوبة,57
C  EPP,Électrophorèse Des Protéines,رحلان البروتينات,ELECTROPHORESE DES PROTEI,Immunologie,المناعة,0,À jeun.,صائم.,Analyse des protéines sanguines.,تحليل البروتينات في الدم.,électrophorèse; protéines; myélome; gammapathie,رحلان; بروتينات; ميلوما,55
I  TRAG,Ac Anti-Transglutaminase IgG,أجسام مضادة ترانسغلوتاميناز IgG,AC  ANIT TRANSGLUTAMINASE,Immunologie,المناعة,0,Non à jeun.,بدون صيام.,Maladie cœliaque (IgG).,داء زلاقي (IgG).,cœliaque; gluten; intestin; transglutaminase,داء زلاقي; غلوتين; أمعاء,52
I  CCP,Ac Anti-CCP,أجسام مضادة CCP,AC ANTI CCP,Rhumatologie,الروماتيزم,0,Non à jeun.,بدون صيام.,Polyarthrite rhumatoïde.,التهاب المفاصل الروماتويدي.,ccp; polyarthrite; rhumatoïde; articulations,سي سي بي; روماتويد; مفاصل,52
EZ LDH,LDH,إنزيم LDH,LDH,Bilan Général,فحص عام,0,Jeûne préférable.,يفضل الصيام.,Enzyme tissulaire.,إنزيم الأنسجة.,ldh; enzyme; cœur; foie; muscles,إنزيم إل دي إتش; قلب; كبد; عضلات,50
EU RAPC,Rapport Protéinurie/Créatinine,نسبة البروتين للكرياتينين,rapport proteinurie créat,Bilan Rénal (Reins),فحص الكلى,0,Urines du matin.,بول الصباح.,Ratio protéines urinaires.,نسبة البروتينات البولية.,protéines; urines; reins; créatinine; ratio,بروتينات; بول; كلى; نسبة,50
C  ASP,Aspect Du Sérum,مظهر المصل,ASPECT DU SERUM,Bilan Général,فحص عام,0,Selon analyse.,حسب التحليل.,Observation visuelle du sérum.,ملاحظة بصرية للمصل.,aspect; sérum; lipémie; hémolyse,مظهر; مصل; دهون; انحلال,49
N  COR8,Cortisol 8H,الكورتيزول 8 صباحا,CORTISOL 8H,Hormonologie,الهرمونات,0,À 8h du matin. À jeun.,الساعة 8 صباحا. صائم.,Hormone du stress.,هرمون الضغط النفسي.,cortisol; stress; surrénale; fatigue; 8h,كورتيزول; ضغط; كظر; تعب,49
N  FSH,FSH Plasmatique,هرمون FSH,FSH PLASMATIQUE,Hormonologie,الهرمونات,0,Jour 3 du cycle pour femmes.,اليوم 3 من الدورة للنساء.,Hormone de fertilité.,هرمون الخصوبة.,fsh; fertilité; ovaires; ménopause; cycles,هرمون إف إس إتش; خصوبة; مبايض; دورة,47
B  PV,Prélèvement Vaginal,عينة مهبلية,PRELEVEMENT VAGINAL,Bactériologie,البكتيريا,0,Hors menstruation.,خارج الحيض.,Infection vaginale.,عدوى مهبلية.,prélèvement; vaginal; mycose; pertes; infection,عينة; مهبلية; فطريات; إفرازات; عدوى,47
I  BNP,BNP (Peptide Natriurétique),الببتيد الناتريوريتيك الدماغي,BRAIN NATRIURETIC PEPTIDE,Cardiologie,القلب والشرايين,0,Non à jeun.,بدون صيام.,Insuffisance cardiaque.,قصور القلب.,bnp; cœur; insuffisance; essoufflement,بي إن بي; قلب; قصور; ضيق نفس,47
N  HCG,Dosage d'HCG,جرعة هرمون الحمل,DOSAGE D'HCG,Grossesse,الحمل,0,Non à jeun.,بدون صيام.,Dosage grossesse quantitatif.,جرعة الحمل الكمية.,hcg; grossesse; hormone; enceinte; bêta,هرمون حمل; حامل; بيتا,46
V  VB9,Vitamine B9,فيتامين ب9,VITAMINE B9,Vitamines,الفيتامينات,0,Non à jeun.,بدون صيام.,Acide folique (anémie).,حمض الفوليك (فقر الدم).,vitamine b9; folate; acide folique; anémie; grossesse,فيتامين ب9; فوليك; فقر دم; حمل,46
B  ATBC,Antibiogramme C+,مضادات حيوية C+,ANTIBIOGRAMME C+,Bactériologie,البكتيريا,0,Selon prélèvement.,حسب العينة.,Test antibiotiques cocci+.,فحص مضادات للمكورات+.,antibiogramme; antibiotiques; cocci; staphylocoque,مضادات حيوية; مكورات; ستافيلوكوك,45
N  PTH,Parathormone,هرمون جارات الدرقية,PARATHORMONE,Hormonologie,الهرمونات,0,Le matin. À jeun.,صباحا. صائم.,Hormone du calcium.,هرمون الكالسيوم.,pth; parathyroïde; calcium; os; vitamine d,هرمون جارات; كالسيوم; عظام; فيتامين د,43
B  SPC,Spermoculture,زرع السائل المنوي,SPERMOCULTURE,Fertilité,الخصوبة,0,Stérile. Abstinence 3-5j.,معقم. امتناع 3-5 أيام.,Culture sperme.,زرع الحيوانات المنوية.,spermoculture; sperme; infection; fertilité,زرع منوي; حيوانات; عدوى; خصوبة,43
H  VS1,Vitesse De Sédimentation,سرعة الترسيب,VITESSE DE SEDIMENTATION,Inflammation,الالتهاب,0,Non à jeun.,بدون صيام.,Marqueur d'inflammation.,مؤشر الالتهاب.,vs; inflammation; infection; sédimentation,ترسيب; التهاب; عدوى,41
C  RA,Réserve Alcaline,الاحتياطي القلوي,RESERVE ALCALINE,Bilan Général,فحص عام,0,Jeûne préférable.,يفضل الصيام.,Équilibre acido-basique.,التوازن الحمضي القاعدي.,bicarbonates; réserve; acidose; alcaline,بيكربونات; احتياطي; حموضة; قاعدي,40
N  ATG,Ac Antithyroglobuline,أجسام مضادة للثيروغلوبولين,AC. ANTITHYROGLOBULINE,Immunologie,المناعة,0,Non à jeun.,بدون صيام.,Maladie thyroïdienne auto-immune.,مرض الغدة الدرقية المناعي.,atg; thyroïde; hashimoto; auto-immun; anticorps,مضادات غدة درقية; هاشيموتو; مناعة,40
B  RSS,Sang Dans Les Selles,الدم في البراز,SANG DS LES SELLES,Bactériologie,البكتيريا,0,Selles fraîches.,براز طازج.,Recherche sang occulte.,بحث عن الدم الخفي.,sang; selles; hémorragie; côlon; cancer,دم; براز; نزيف; قولون; سرطان,39
T  RAI,Recherche D'Agglutinines Irrégulières,بحث عن الأجسام المناعية غير المنتظمة,RECHERCHE D'AGGLUTININES,Immuno-Hémato,المناعة والدم,0,Non à jeun. Grossesse.,بدون صيام. حمل.,Anticorps anti-érythrocytaires (grossesse).,أجسام مضادة للكريات الحمراء (حمل).,rai; anticorps; grossesse; transfusion; rhésus,أجسام مناعية; حمل; نقل دم; ريزوس,38
EZ CPK,Créatinine Kinase (CPK),إنزيم الكرياتين كيناز,Créatinine kinase (CPK),Cardiologie,القلب والشرايين,0,Non à jeun. Éviter effort.,بدون صيام. تجنب المجهود.,Enzyme muscles et cœur.,إنزيم العضلات والقلب.,cpk; muscles; cœur; crampes; infarctus,سي بي كي; عضلات; قلب; تشنج,37
B  CBUM,ECBU MSC (IFAERO),فحص البول MSC,ECBU MSC ( IFAERO),Bactériologie,البكتيريا,0,"Urines du matin, flacon stérile.","بول الصباح، علبة معقمة.",ECBU spécialisé.,فحص بول متخصص.,ecbu; urines; infection; bactérie,فحص بول; عدوى; بكتيريا,35
C  CALI,Calcul Urinaire Infrarouge,تحليل حصوة بولية بالأشعة,CALCUL URINAIRE INFRAROUG,Bilan Rénal (Reins),فحص الكلى,0,Apporter le calcul.,إحضار الحصوة.,Analyse chimique du calcul.,تحليل كيميائي للحصوة.,calcul; pierre; reins; colique; néphrétique,حصوة; كلى; مغص; كلوي,33
N  AMH,Hormone Anti-Müllérienne,الهرمون المضاد لمولر,HORMONE ANTI MULLERIENNE,Hormonologie,الهرمونات,0,Non à jeun.,بدون صيام.,Réserve ovarienne.,احتياطي المبيض.,amh; fertilité; ovaires; fiv; réserve,هرمون مولر; خصوبة; مبايض; احتياطي,32
B  BK3,BK x3,عصية كوخ 3 مرات,BK *3,Bactériologie,البكتيريا,0,Crachats 3 jours consécutifs.,بلغم 3 أيام متتالية.,Recherche tuberculose (3 échantillons).,فحص السل (3 عينات).,bk; tuberculose; poumons; crachats; 3 fois,عصية كوخ; سل; رئة; بلغم,32
EU RBIL,Bilirubine Urines,البيليروبين في البول,BILIRUBINE URINES,Bilan Hépatique (Foie),فحص الكبد,0,Urines fraîches.,بول طازج.,Dépistage ictère.,فحص اليرقان.,bilirubine; urines; jaunisse; foie; ictère,بيليروبين; بول; يرقان; كبد,30
S  DPD,Uracilémie (Phénotypage DPD),اليوراسيليميا,URACILEMIE (phenotypage d,Génétique,الجينات,0,Non à jeun.,بدون صيام.,Test génétique avant chimiothérapie.,فحص جيني قبل العلاج الكيماوي.,dpd; génétique; chimiothérapie; cancer; toxicité,جينات; علاج كيماوي; سرطان; سمية,29
N  LH,LH Plasmatique,هرمون LH,LH PLASMATIQUE,Hormonologie,الهرمونات,0,Jour 3 du cycle pour femmes.,اليوم 3 من الدورة للنساء.,Hormone de fertilité.,هرمون الخصوبة.,lh; fertilité; ovulation; cycles; hormones,هرمون إل إتش; خصوبة; إباضة; دورة,28
C  HGPO,Hyperglycémie Provoquée Par Voie Orale,اختبار تحمل الغلوكوز,HYPERGLYCEMIE PROVOQUEE P,Diabète,السكري,0,À jeun. Test de 2h avec charge glucose.,صائم. اختبار ساعتين مع جرعة سكر.,Test diabète gestationnel.,فحص سكري الحمل.,hgpo; diabète; grossesse; glucose; test charge,اختبار تحمل; السكري; حمل; غلوكوز,27
C  FER,Fer,الحديد,FER,Anémie/Fer,فقر الدم والحديد,0,Le matin. À jeun.,صباحا. صائم.,Dosage fer sérique.,جرعة الحديد في الدم.,fer; anémie; fatigue; ferritine; hémoglobine,حديد; فقر دم; تعب; فيريتين,26
B  CBP3,ECB D'Un Prélèvement De Plaie,فحص بكتيري لجرح,ECB D'UN PRELEVEMENT DE P,Bactériologie,البكتيريا,0,Prélèvement stérile de plaie.,عينة معقمة من الجرح.,Culture plaie/abcès.,زرع جرح/خراج.,plaie; abcès; pus; infection; bactérie,جرح; خراج; صديد; عدوى; بكتيريا,25
S  AHBC,Anticorps HBc,أجسام مضادة HBc,ANTICORPS HBC,Sérologie,الفيروسات,0,Non à jeun.,بدون صيام.,Hépatite B (contact ancien).,التهاب الكبد ب (تماس قديم).,hépatite b; hbc; anticorps; foie; virus,التهاب كبد ب; أجسام مضادة; فيروس,24
BM HLAB,HLA B27,HLA B27,HLA B 27,Génétique,الجينات,0,Non à jeun.,بدون صيام.,Marqueur génétique (spondylarthrite).,مؤشر جيني (التهاب فقار).,hla; b27; génétique; spondylarthrite; articulations,إتش إل إيه; جينات; التهاب فقار,24
H  RETI,Réticulocytes,الخلايا الشبكية,RETICULOCYTES,Hématologie,أمراض الدم,0,Non à jeun.,بدون صيام.,Jeunes globules rouges.,كريات حمراء فتية.,réticulocytes; anémie; moelle; régénération,خلايا شبكية; فقر دم; نخاع; تجديد,23
C  PROT,Protéines,البروتينات,PROTEINES,Bilan Général,فحص عام,0,À jeun.,صائم.,Protéines totales.,البروتينات الكلية.,protéines; albumine; globulines; nutrition,بروتينات; ألبومين; تغذية,23
S  AHBS,Anticorps HBs,أجسام مضادة HBs,ANTICORPS HBS,Sérologie,الفيروسات,0,Non à jeun.,بدون صيام.,Immunité Hépatite B (vaccin).,مناعة التهاب الكبد ب (لقاح).,hépatite b; hbs; vaccin; immunité; anticorps,التهاب كبد ب; لقاح; مناعة; أجسام,23
MT CA12,CA125,مستضد CA125,CA125,Cancer,السرطان,0,Non à jeun.,بدون صيام.,Marqueur cancer ovaire.,مؤشر سرطان المبيض.,ca125; cancer; ovaire; tumeur; femmes,كا125; سرطان; مبيض; ورم; نساء,22
0  INFO,Informations Sur Ce Dossier,معلومات عن الملف,Informations sur ce dossi,Autre,آخر,0,Non applicable.,غير قابل للتطبيق.,Information administrative.,معلومة إدارية.,information; dossier; administration,معلومات; ملف; إدارة,22
EZ AMY,Amylase,الأميلاز,AMYLASE,Bilan Hépatique (Foie),فحص الكبد,0,Jeûne préférable.,يفضل الصيام.,Enzyme du pancréas.,إنزيم البنكرياس.,amylase; pancréas; douleur abdominale; enzymes,أميلاز; بنكرياس; ألم بطن; إنزيمات,20
BM QF,Quantiferon TB Gold IT,كوانتيفيرون للسل,QUANTIFERON TBGOLD IT,Bactériologie,البكتيريا,0,Non à jeun.,بدون صيام.,Dépistage tuberculose latente.,فحص السل الكامن.,quantiferon; tuberculose; sang; dépistage; latent,كوانتيفيرون; سل; دم; فحص; كامن,18
I  ADNA,Anticorps Anti-DNA,أجسام مضادة ضد DNA,ANTICORPS ANTI DNA,Immunologie,المناعة,0,Non à jeun.,بدون صيام.,Lupus érythémateux.,الذئبة الحمراء.,anti-dna; lupus; auto-immun; anticorps,مضادات دي إن إيه; ذئبة; مناعة ذاتية,17
Y  MUG,Étiquette Dossier,ملصق ملف,ETIQUETTE DOSSIER,Autre,آخر,0,Non applicable.,غير قابل للتطبيق.,Étiquette administrative.,ملصق إداري.,étiquette; dossier; administration,ملصق; ملف; إدارة,16
N  E2,Œstradiol,هرمون الإستروجين,OESTRADIOL,Hormonologie,الهرمونات,0,Jour 3 du cycle.,اليوم 3 من الدورة.,Hormone féminine.,هرمون أنثوي.,œstradiol; estrogène; fertilité; ménopause; cycles,إستروجين; خصوبة; دورة; انقطاع طمث,16
B  IDR,IDR,اختبار السل الجلدي,IDR,Bactériologie,البكتيريا,0,Injection intradermique. Lecture 72h.,حقن داخل الأدمة. قراءة 72 ساعة.,Test cutané tuberculose.,فحص جلدي للسل.,idr; tuberculose; peau; réaction; test,اختبار جلدي; سل; جلد; تفاعل,16
B  MYCO,Mycologie D'Un Prélèvement,فحص فطري,MYCOLOGIE D'UN PRELEVEMEN,Bactériologie,البكتيريا,0,Selon prélèvement.,حسب العينة.,Recherche champignons.,فحص الفطريات.,mycologie; champignons; mycose; ongles; peau,فطريات; مايكوز; أظافر; جلد,15
N  THYG,Thyroglobuline,الثيروغلوبولين,THYROGLOBULINE,Hormonologie,الهرمونات,0,Non à jeun.,بدون صيام.,Suivi cancer thyroïde.,متابعة سرطان الغدة الدرقية.,thyroglobuline; thyroïde; cancer; suivi,ثيروغلوبولين; غدة درقية; سرطان; متابعة,15
SP SPRC,Spermocytogramme,فحص أشكال الحيوانات المنوية,SPERMOCYTOGRAMME,Fertilité,الخصوبة,0,Complément du spermogramme.,مكمل لفحص السائل المنوي.,Analyse morphologie spermatozoïdes.,تحليل أشكال الحيوانات المنوية.,spermocytogramme; sperme; morphologie; fertilité,أشكال منوية; حيوانات; خصوبة,13
B  LCR,Liquide Céphalo-Rachidien,السائل الدماغي الشوكي,LIQUIDE CEPHALO-RACHIDIEN,Bactériologie,البكتيريا,0,Ponction lombaire.,بزل قطني.,Analyse LCR (méningite).,تحليل السائل الدماغي (التهاب سحايا).,lcr; méningite; ponction lombaire; cerveau,سائل دماغي; التهاب سحايا; بزل,13
N  ARTS,Ac Anti-Récepteur De La TSH,أجسام مضادة لمستقبل TSH,Ac Anti Recepteur de la T,Immunologie,المناعة,0,Non à jeun.,بدون صيام.,Maladie de Basedow.,مرض بازيدو.,tsh; basedow; thyroïde; anticorps; hyperthyroïdie,مضادات; غدة درقية; بازيدو; فرط نشاط,12
S  HSV,Infections À Herpes Simplex,فيروس الهربس,Infections à Herpes Simpl,Sérologie,الفيروسات,0,Non à jeun.,بدون صيام.,Sérologie Herpes.,فحص فيروس الهربس.,herpes; hsv; bouton fièvre; génital; virus,هربس; فيروس; قرحة; تناسلي,11
MT PSAL,Antigène Prostatique (Libre),مستضد البروستاتا (حر),ANTIGENE PROSTATIQUE (LIB,Cancer,السرطان,0,Éviter vélo/rapports 48h avant.,تجنب الدراجة/العلاقة 48 ساعة.,PSA libre.,بي إس إيه حر.,psa libre; prostate; cancer; ratio,بي إس إيه حر; بروستاتا; سرطان,11
I  IGA,Immunoglobulines A,الغلوبولينات المناعية A,IMMUNOGLOBULINES A,Immunologie,المناعة,0,Non à jeun.,بدون صيام.,Immunité muqueuses.,مناعة الأغشية المخاطية.,iga; immunoglobulines; immunité; infections,غلوبولين مناعي أ; مناعة; عدوى,11
BM ADNB,Qlfcat ADN Du VHB,DNA فيروس الكبد ب,QLFCAT ADN DU VHB,Génétique,الجينات,0,Non à jeun.,بدون صيام.,Charge virale Hépatite B.,الحمل الفيروسي لالتهاب الكبد ب.,hépatite b; adn; pcr; charge virale; virus,التهاب كبد ب; دي إن إيه; حمل فيروسي,11
EU CRU,Créatinine Urinaire,الكرياتينين في البول,CREATININE URINAIRE,Bilan Rénal (Reins),فحص الكلى,0,Urines 24h.,بول 24 ساعة.,Créatinine sur 24h.,كرياتينين على 24 ساعة.,créatinine; urines; reins; 24h,كرياتينين; بول; كلى; 24 ساعة,10
MT AFP,Alpha-Fœtoprotéine,بروتين ألفا الجنيني,ALPHA FOETO-PROTEINE.,Cancer,السرطان,0,Non à jeun.,بدون صيام.,Marqueur tumoral foie.,مؤشر ورم الكبد.,afp; cancer; foie; tumeur; grossesse,ألفا فيتو; سرطان; كبد; ورم; حمل,10
BM ARN2,PCR HVC,PCR فيروس الكبد س,PCRHVC,Génétique,الجينات,0,Non à jeun.,بدون صيام.,Charge virale Hépatite C.,الحمل الفيروسي لالتهاب الكبد س.,hépatite c; pcr; arn; charge virale; virus,التهاب كبد س; بي سي آر; حمل فيروسي,9
EZ CONV,Enzyme De Conversion,إنزيم التحويل,ENZYME DE CONVERSION,Cardiologie,القلب والشرايين,0,Non à jeun.,بدون صيام.,Hypertension artérielle.,ارتفاع ضغط الدم.,enzyme conversion; tension; ace; hypertension,إنزيم تحويل; ضغط; ارتفاع,9
HS FIB,Fibrinogène,الفيبرينوجين,FIBRINOGENE,Coagulation,التخثر,0,Non à jeun.,بدون صيام.,Facteur de coagulation.,عامل التخثر.,fibrinogène; coagulation; saignement; thrombose,فيبرينوجين; تخثر; نزيف; جلطة,9
B  ATBT,Antibiogramme,مضادات حيوية,ANTIBIOGRAMME,Bactériologie,البكتيريا,0,Selon prélèvement.,حسب العينة.,Sensibilité aux antibiotiques.,حساسية المضادات الحيوية.,antibiogramme; antibiotiques; résistance,مضادات حيوية; مقاومة,9
B  BKC,Recherche De BK + Culture,بحث عصية كوخ + زرع,RECHERCHE DE BK + CULTURE,Bactériologie,البكتيريا,0,Crachats + culture prolongée.,بلغم + زرع طويل.,Culture tuberculose.,زرع السل.,bk; tuberculose; culture; crachats; poumons,عصية كوخ; سل; زرع; بلغم,9
B  ASCI,Liquide D'Ascite,سائل الاستسقاء,LIQUIDE D'ASCITE,Bactériologie,البكتيريا,0,Ponction d'ascite.,بزل الاستسقاء.,Analyse liquide abdominal.,تحليل السائل البطني.,ascite; liquide; ventre; ponction; abdomen,استسقاء; سائل; بطن; بزل,8
A  CLAT,BMD-CLA Trophallergènes,اختبار الحساسية الغذائية,BMD-CLA TROPHALLERGENES,Allergie,الحساسية,0,Non à jeun.,بدون صيام.,Allergies alimentaires.,حساسية غذائية.,allergies; aliments; ige; alimentaire; intolérance,حساسية; أطعمة; أيجي; غذائية,8
N  COR,Cortisol 10H,الكورتيزول 10 صباحا,CORTISOL 10H,Hormonologie,الهرمونات,0,À 10h du matin.,الساعة 10 صباحا.,Cortisol à 10h.,كورتيزول الساعة 10.,cortisol; 10h; surrénale; stress,كورتيزول; 10 صباحا; كظر; ضغط,8
C  ZINC,Zinc,الزنك,ZINC,Bilan Général,فحص عام,0,Le matin. À jeun.,صباحا. صائم.,Oligoélément.,عنصر نزر.,zinc; oligoélément; immunité; cheveux,زنك; عنصر; مناعة; شعر,8
MT PSTL,PSA Libre/Totale,نسبة PSA حر/كلي,PSA LIBRE/TOTALE,Cancer,السرطان,0,Éviter vélo/rapports 48h avant.,تجنب الدراجة/العلاقة 48 ساعة.,Ratio PSA libre/total.,نسبة PSA حر/كلي.,psa; ratio; prostate; cancer; libre,نسبة بي إس إيه; بروستاتا; سرطان,8
C  IEP,Immuno-Électrophorèse,رحلان مناعي,IMMUNO ELECTROPHORESE,Immunologie,المناعة,0,À jeun.,صائم.,Analyse immunoglobulines.,تحليل الغلوبولينات المناعية.,immunoélectrophorèse; myélome; gammapathie,رحلان مناعي; ميلوما,8
N  D4AD,Delta 4 Androstènedione,هرمون أندروستينديون,DELTA 4 ANDROSTENEDIONE,Hormonologie,الهرمونات,0,Le matin.,صباحا.,Précurseur hormonal.,سليفة هرمونية.,androstènedione; hormones; androgènes,أندروستينديون; هرمونات; أندروجينات,7
BM NOW,Coronavirus SARS-CoV-2 (COVID),فيروس كورونا,CORONAVIRUS SARS COV2 (CO,Sérologie,الفيروسات,0,Non à jeun.,بدون صيام.,Test COVID-19.,فحص كوفيد-19.,covid; coronavirus; pcr; antigène; test,كوفيد; كورونا; فحص; اختبار,7
U  PH,pH,درجة الحموضة,PH,Bilan Général,فحص عام,0,Selon analyse.,حسب التحليل.,Mesure pH.,قياس الحموضة.,ph; acidité; alcalin; urinaire,حموضة; قلوي; بولي,7
I  MITO,Ac Anti-Mitochondries (Dépistage),أجسام مضادة للميتوكوندريا,AC ANTI MITOCHONDRIES DEP,Immunologie,المناعة,0,Non à jeun.,بدون صيام.,Cirrhose biliaire primitive.,تشمع صفراوي أولي.,mitochondries; cirrhose; foie; auto-immun,ميتوكوندريا; تشمع; كبد; مناعة,7
I  TAN,Test Antigénique COVID-19,اختبار المستضد كوفيد,Test Antigénique Covid 19,Sérologie,الفيروسات,0,Prélèvement nasal.,عينة أنفية.,Test rapide COVID.,فحص سريع كوفيد.,covid; antigène; test rapide; coronavirus,كوفيد; مستضد; فحص سريع; كورونا,7
B  PURE,Prélèvement Urétral,عينة إحليلية,PRELEVEMENT URETRAL,Bactériologie,البكتيريا,0,Le matin avant toilette.,صباحا قبل التنظيف.,Infection urétrale (homme).,عدوى إحليلية (رجل).,urétral; mst; écoulement; homme; urètre,إحليل; أمراض جنسية; إفرازات; رجل,7
EU CAU,Calcium Urinaire,الكالسيوم في البول,CALCIUM URINAIRE,Bilan Rénal (Reins),فحص الكلى,0,Urines 24h.,بول 24 ساعة.,Calcium urinaire sur 24h.,كالسيوم بولي على 24 ساعة.,calcium; urines; calculs; reins; lithiase,كالسيوم; بول; حصوات; كلى,7
N  DHA,Déhydroépiandrostérone Sulfate,ديهيدرو إيبي أندروستيرون,DEHYDROEPIANDROSTERONE SU,Hormonologie,الهرمونات,0,Le matin.,صباحا.,Hormone surrénalienne.,هرمون الكظر.,dhea; surrénale; hormones; androgènes,ديهيا; كظر; هرمونات,6
I  ECT,ECT Dépistage + Titrage,ECT فحص + معايرة,ECT DEPISTAGE + TITRAGE,Immunologie,المناعة,0,Non à jeun.,بدون صيام.,Cryoglobulines.,بروتينات باردة.,ect; cryoglobulines; froid; auto-immun,بروتينات باردة; مناعة,6
C  COEF,Coefficients De Saturation,معاملات التشبع,Coefficients de saturatio,Anémie/Fer,فقر الدم والحديد,0,Le matin. À jeun.,صباحا. صائم.,Saturation de la transferrine.,تشبع الترانسفيرين.,saturation; fer; transferrine; hémochromatose,تشبع; حديد; ترانسفيرين,6
B  PARP,Parasitologie Des Selles (multiple),فحص طفيليات براز متعدد,Parasitologie des selles*,Parasitologie,الطفيليات,0,Selles fraîches. Plusieurs échantillons.,براز طازج. عدة عينات.,Recherche parasites (répété).,فحص طفيليات (متكرر).,parasites; selles; vers; répété,طفيليات; براز; ديدان; متكرر,6
N  IGF1,IGF-1,عامل النمو الشبيه بالأنسولين,IGF1,Hormonologie,الهرمونات,0,Le matin. À jeun.,صباحا. صائم.,Hormone de croissance.,هرمون النمو.,igf1; croissance; hormone; taille; nanisme,آي جي إف; نمو; هرمون; طول,6
BM HIVP,PCR VIH,PCR فيروس السيدا,PCR HIV,Génétique,الجينات,0,Non à jeun. Confidentiel.,بدون صيام. سري.,Charge virale VIH.,الحمل الفيروسي للسيدا.,vih; pcr; charge virale; sida,سيدا; بي سي آر; حمل فيروسي,6
I  ACPH,Ac Antiphospholipides,أجسام مضادة للفوسفوليبيدات,AC ANTIPHOSPHOLIPIDES,Immunologie,المناعة,0,Non à jeun.,بدون صيام.,Syndrome antiphospholipides.,متلازمة الأجسام المضادة للفوسفوليبيدات.,antiphospholipides; thrombose; fausse couche; sapl,مضادات فوسفوليبيدات; جلطة; إجهاض,6
A  IGET,IgE Totales,الأجسام المناعية E الكلية,IGE T,Allergie,الحساسية,0,Non à jeun.,بدون صيام.,Allergie globale.,حساسية عامة.,ige; allergies; totales; asthme,أيجي; حساسية; ربو; كلي,6
I  ECTD,ECT Dépistage,ECT فحص,ECT DEPISTAGE,Immunologie,المناعة,0,Non à jeun.,بدون صيام.,Dépistage cryoglobulines.,فحص البروتينات الباردة.,ect; cryoglobulines; dépistage,بروتينات باردة; فحص,6
C  CACO,Calcium Corrigé,الكالسيوم المصحح,CALCIUM CORRIGE,Bilan Général,فحص عام,0,À jeun.,صائم.,Calcium ajusté à l'albumine.,كالسيوم معدل بالألبومين.,calcium; corrigé; albumine; parathyroïde,كالسيوم; مصحح; ألبومين,5
T  T4T8,Marqueurs Lymphocytaires,مؤشرات لمفاوية,MARQUEURS LYMPHOCYTAIRES,Immunologie,المناعة,0,Non à jeun.,بدون صيام.,Ratio CD4/CD8.,نسبة CD4/CD8.,cd4; cd8; vih; lymphocytes; immunité,سي دي 4; سي دي 8; سيدا; مناعة,5
A  CLAP,BMD-CLA Pneumallergènes,اختبار حساسية الهواء,BMD-CLA PNEUMALLERGENES,Allergie,الحساسية,0,Non à jeun.,بدون صيام.,Allergies respiratoires.,حساسية تنفسية.,allergies; respiratoire; pollen; acariens; asthme,حساسية; تنفس; حبوب لقاح; ربو,5
